MERCHANT_CATEGORIZED_AT,MERCHANT_NAME,MERCHANT_CATEGORIZED_AS,PURCHASE_VALUE,PURCHASED_AT,IS_PURCHASE_PAID_VIA_MPESA_SEND_MONEY,USER_AGE,USER_GENDER,USER_HOUSEHOLD,USER_INCOME,USER_ID,Transaction_ID
,KERARAPON SERVICE STATION LIMITED,,200,2022-04-15 10:28:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ccpa77qw
,NAIVAS SUPERMARKET,,854,2021-05-18 11:58:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_19byvu2m
,CYBERMENU ENTERPRISE,,200,2022-03-18 09:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_9y9bp3pk
,DYNA STAR,,700,2021-02-23 14:59:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_07tyhke9
,BRIM SEVEN,,230,2020-09-22 08:01:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_6pghcb2l
,FAIRLANE SUPERMARKETS LTD,,530,2022-06-04 17:36:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_n5atmdq4
,NAIVAS SUPERMARKET,,4480,2021-01-08 11:11:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_gvfl8hw4
,MULIKA,,1250,2021-08-21 14:07:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_nz66h38r
,SAJ CERAMICS,,3542,2021-01-09 07:27:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_zvsslg34
,LA PIEVE,,1650,2020-12-26 14:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_3bbw5bpz
,SAFARICOM LIMITED,,20,2021-03-18 09:39:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_8wdnnx3b
,LANGATA CREAMY INN,,560,2022-02-14 12:23:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_beg4dut9
,MEAT AND,,4200,2020-12-21 15:31:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_om3qznh4
,NAIVAS SHELL SYOKIMAU,,320,2022-02-14 18:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_hqv2nksl
,NAIVAS KITENGELA,,109,2022-01-29 18:17:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_u3fnvrc7
,IKOJN,,4440,2021-02-03 11:49:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_358sunvc
,EYEGO,,200,2021-08-31 15:11:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_sivthkw1
,NAIVAS SHELL SYOKIMAU,,95,2022-02-17 16:22:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ugyl51zv
,NAIVAS,,9419,2021-08-09 13:45:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_201qts95
,CHAPA COPY,,350,2020-09-22 12:28:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_u3wi9e2x
,MEGALINK SOLUTIONS,,6000,2021-05-01 16:47:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ark1zszz
,PARK N GO  GALLERIA-SP ON,,50,2022-02-27 14:31:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_4lt2c12h
,EUZAC ENTERPRISES,,500,2020-09-12 09:39:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_n2e1gaxy
,NAIROBI JAVA,,1320,2021-07-05 14:48:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_kd70ehor
,NAIVAS SUPERMARKET,,46914,2021-08-21 13:22:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_v96ig3z1
,MBCI  FOR,,368,2021-08-08 14:56:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_vny8qg7b
,NAIVAS SUPERMARKET,,25826,2021-08-22 11:24:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_1kik05ds
,JEFFERYS SALON,,2000,2020-12-24 10:38:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_fitpz4ab
,FURNITURE PALACE,,11995,2021-03-26 10:15:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_1cwrrdoh
,NAIROBI ARBORETUM,,65,2022-02-03 12:30:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_m6p9wlgx
,NAIVAS SUPERMARKET,,3899,2021-08-25 13:30:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jy43h6g4
,SEVERIN SEA,,3000,2021-09-14 15:55:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jotvtfa5
,ELITEMART,,212,2022-04-26 16:43:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_enkew183
,MAKEUPCLOUD,,5000,2021-02-08 13:13:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_6fimnujr
,NANCY NAFULA SHIKUKU,,130,2022-03-14 09:59:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_q1js5nx2
,ROAST N,,290,2020-09-25 17:25:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_79pkl8td
,MBCI  FOR,,1000,2021-07-25 10:16:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_mafeewyf
,MWIRERI,,300,2021-07-04 13:04:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_qs3jmrqc
,NAIVAS,,2135,2021-08-16 16:24:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_itz74qab
,NAIROBI JAVA,,550,2021-07-25 13:10:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_52gnfg5i
,SAFARICOM LIMITED,,50,2021-03-08 11:00:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_sciyhd6m
,G4S D26BKAREN,,300,2022-05-19 14:07:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ln6n20kr
,SERENI STORES,,810,2021-06-19 12:54:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_rodh68yc
,CITAM KITENGELA,,500,2021-08-15 10:45:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_2tcrxucm
,SERENA HOTELS,,3710,2021-04-26 14:05:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_3r11smjm
,NAS,,100,2021-09-15 06:26:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_qghyuiur
,MARY KAVINYA MWANYAI,,165,2022-05-18 06:31:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_pm4vsay4
,ALICE SHOP,,25,2021-11-06 16:29:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_1kfsecy5
,NEW SIGONA,,1000,2021-05-23 17:40:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_q1o3fqnw
,URBAN,,450,2021-06-30 12:30:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_c5ko5orb
,CLEANSHELF SUPERMARKETS,,561,2020-09-16 08:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_erc600f0
,PAM NAIL CARE LIMITED,,200,2022-04-09 16:14:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jo5dg2zh
,RISPER  KWANYA,,200,2021-07-10 16:28:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_sigshe5t
,SERENI STORES,,150,2021-08-16 17:21:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_hleh8fc7
,RIMS SUPPLIES,,7240,2021-05-14 08:55:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_x9wthp4j
,KERARAPON SERVICE STATION LIMITED,,2000,2022-06-03 14:56:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_vpflzugy
,MULIKA,,1300,2021-08-25 14:28:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_j8z2m30o
,BARAKA,,500,2021-08-19 18:09:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_tr8fe68m
,WILLIAM NGATIAH,,300,2021-09-15 03:53:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_lqlysn5q
,NAIVAS SUPERMARKET,,11064,2021-02-02 11:19:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_reziepyz
,MADARAKA EXPRESS,,1000,2021-09-09 14:10:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_tnj9ioq6
,JOSEPH,,100,2021-05-18 14:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_5vg9ibhg
,AVA PHARMACY,,600,2021-02-14 16:17:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_xq5and85
,PARK N,,50,2021-02-28 12:59:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_sgdq2wzn
,SHELL KAREN SS,,2000,2022-04-18 12:15:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_bt6ja5i2
,HOUSE OF,,50,2021-02-16 15:11:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_2dcu8xbj
,TINGG CELLULANT POWER,,500,2022-04-14 11:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_dnp8ie2j
,SAFARICOM POSTPAID,,100,2020-09-21 19:02:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_k7jevuvy
,MOTHERS KITCHEN,,200,2021-05-26 07:32:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_yvskisej
,TRIPLE M BUTCHERY,,300,2022-05-11 12:49:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_0pyrpoxr
,UPENDO GENERAL SHOP 5,,145,2022-04-25 17:45:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_573dmpt6
,MBCI  FOR,,500,2021-09-19 11:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_olwfycyt
,HALISI FAMILY,,500,2021-04-30 16:43:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_9h33inpx
,NAIVAS KITENGELA,,98,2022-02-25 08:45:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_kuhexzlj
,SAFARICOM POSTPAID,,100,2020-09-19 21:46:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ialoybza
,PAYTECH LIMITED,,110,2021-04-16 12:05:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_fzwso5wc
,OLEMUREN LIQUOR,,250,2021-08-14 15:32:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_mrxhb3qy
,SAFARICOM LIMITED,,20,2021-02-08 10:05:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_aj4nsb2l
,PAYTECH,,100,2020-09-25 13:49:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_pvs99aed
,TOTALENERGIES DAGORETTI CORNER,,2000,2022-05-31 04:00:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_8ntv6zfi
,MBCI  FOR,,2000,2021-08-03 16:55:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_2d0xfpv2
,URBAN,,240,2021-08-21 09:44:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_m60tg1q3
,PIZZA IN,,200,2021-01-11 09:39:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_qh5dyd6m
,THE PURPOSE CENTRE CHURCH A  RUACH RIVERS,,500,2022-04-15 18:36:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_kllaxl7e
,NAIVAS NGONG,,1229,2022-03-17 15:27:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_8kkwd5s9
,THE NEST,,1800,2021-05-21 19:16:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_s17rfl7v
,JOSEPHINE WAMBUI KAMAU,,150,2022-03-08 10:22:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_u43waz82
,NAIVAS,,900,2021-01-02 17:56:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_plhau55p
,ECITIZEN  FOR,,1050,2021-06-15 10:00:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_585sp4oy
,PHARMAPLUS PHARMACEUTICALS,,4550,2021-03-26 14:22:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_51iod849
,DIPLOMAT,,1260,2021-04-25 15:00:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_vxayzw1q
,CITAM KITENGELA,,1000,2021-03-21 09:42:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_u97uwd0r
,MBCI  FOR,,500,2021-09-24 21:59:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_y8sy56dh
,CITAM KAREN,,2100,2021-07-29 19:20:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_4ai5fokn
,MBCI  FOR,,2200,2021-08-08 10:02:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_96t64hmf
,HEALTHLINK MATCARE,,3000,2021-03-19 09:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_yqhy40n4
,PHARMA PLUS - SHELL KAREN BRANCH  KAREN,,100,2022-04-22 16:21:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_j8dmbd4z
,EUZAC ENTERPRISES,,1000,2021-06-14 12:46:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_6m43op93
,CHETHER,,1390,2021-01-09 08:33:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_q921zuw1
,JEFFERYS SALON,,300,2021-07-22 16:57:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_28o3ycd0
,NAIVAS,,1176,2020-12-21 16:54:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_7xx117vs
,QUICKMART NGONG-MILELE MALL,,170,2022-06-05 15:19:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_2jgisvik
,URBAN GRADE DINNING,,760,2022-02-09 16:12:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_liazbhf6
,HEAVENS GATE,,5250,2021-01-11 14:44:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_21zsyjto
,DECATHLON HUB TILL 3,,3950,2022-03-11 15:14:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_4ge3697w
,TINGG CELLULANT POWER,,100,2022-04-14 11:48:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_dzj4be3h
,CHEPCHIKONI DELICACIES N EATERIES,,260,2022-05-11 11:42:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_rc9tpsj8
,NAIVAS,,3314,2021-07-25 11:50:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_al4d2t5m
,KAPS PARKING,,140,2022-02-19 12:37:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_j0flj901
,RECAPHY,,670,2020-09-29 15:19:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_zrnyztwx
,BIG FISH,,200,2021-06-07 15:29:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_rvvmitow
,NAIVAS,,3070,2021-07-13 16:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_1hqdf8ag
,PHARMAPLUS PHARMACEUTICALS,,1400,2021-03-28 16:36:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_x3atepi3
,RISPER  KWANYA,,80,2021-09-15 18:32:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_257rgo01
,CHARLIES CORP,,540,2020-12-28 07:25:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_fc0v2fyb
,MAYAS 2,,1700,2022-05-11 11:11:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_6h1ncqx0
,LULUS WINE AND SPIRIT,,200,2021-05-22 16:16:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_57ffgivw
,TAYLOR MOVERS LIMITED  BEATRICE ON,,19000,2022-02-28 12:36:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_dol5rzcl
,PAYTECH LIMITED,,160,2021-02-03 13:13:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_g3egxz4e
,NJOKAMA,,13500,2021-05-28 07:58:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_v7h8gjs6
,LAMAZ COLLECTION,,1000,2022-06-06 07:50:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_7jd101li
,BARAKA,,240,2021-03-02 12:37:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_njsd1zhs
,BIG FISH,,150,2021-02-13 12:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jhp8mst1
,JEFFERYS SALON,,500,2021-01-02 11:05:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_blqpagy7
,URBAN,,750,2021-06-29 12:19:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_y10kfnrr
,AMBOSELI AREA,,3430,2021-04-26 04:44:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_n16toy23
,NGONG HILLS,,696,2021-04-01 10:01:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ot356nj2
,MOONS INTERNET SERVICES,,200,2021-11-05 13:33:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_4n8zk0el
,NAIVAS WATERFRONT,,2257,2021-01-10 17:41:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_zt1k0gbo
,JOHN LOMAYANI OLE MEPURDA,,105,2022-02-16 17:54:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_iydd771q
,AXITA,,1500,2021-05-25 16:34:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_l1deofks
,NAIVAS SHELL SYOKIMAU,,1315,2022-02-17 16:12:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_mp6rej2k
,NAIVAS SUPERMARKET,,5404,2021-03-25 11:19:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_uwqz3od0
,SHELL TECO,,500,2021-02-12 11:04:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_429z02jy
,CITYCOM OIL,,6130,2021-08-14 16:26:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ws663dh1
,JEFFERYS SALON,,1500,2021-06-07 13:53:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_kpe7uckk
,CITAM KITENGELA,,1100,2021-05-30 10:47:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_4vyatcat
,NJOKAMA,,450,2021-05-29 07:34:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_kjw8dkrx
,SHELL,,1000,2021-01-11 12:25:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_w59kqh3n
,MBCI  PRAYER CARAVAN,,1000,2022-05-28 11:48:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_b7cuio3b
,NAIROBI JAVA,,490,2021-08-02 12:50:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ofz83h64
,SAFARICOM LIMITED,,20,2021-03-24 14:41:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_p0ekk8qo
,NAIVAS SUPERMARKET,,7624,2021-08-23 16:34:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_laycldzx
,SAFARICOM LIMITED,,50,2021-02-12 08:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_otgnf6r0
,HEAVENS GATE,,1500,2021-09-04 15:01:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_9blvezgl
,KERARAPON SERVICE STATION LIMITED,,1248,2022-04-05 11:59:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_48kesfmg
,CITY WALK,,18300,2021-06-04 17:27:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_wgaey2cw
,SHELL MOI,,900,2021-05-20 06:25:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_l117yher
,FANCIECOM,,1200,2021-05-16 15:24:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_an41lflc
,FAIRLANE SUPERMARKETS LTD,,100,2022-04-03 14:29:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jz3u5qkk
,QUICKMART NGONG-MILELE MALL,,906,2022-06-05 15:05:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_sgqcdb5x
,IVAN OMINA,,480,2022-02-11 11:11:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ltc95x7a
,URBAN,,150,2021-08-23 15:56:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_200gwx3g
,BATA,,2000,2021-01-11 08:47:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_7pssqvfb
,NAIVAS,,286,2021-03-28 16:22:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ftzrzfxs
,NAIVAS SYOKIMAU,,110,2022-01-31 17:51:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_bozx7vep
,JOSEPH,,100,2021-04-02 10:03:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_xvahaa42
,CITAM KAREN  OFFERING,,500,2022-06-05 10:13:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_p6ii56f7
,TOTAL NAIVASHA,,360,2021-06-15 13:02:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_x7g8bvcg
,CHRIST IS THE ANSWER MINISTRIES,,500,2022-05-13 16:13:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_o7v6y9f6
,TEXAS  ENERGY,,1000,2021-09-25 14:24:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_2w1gvyxk
,NANCY NAFULA SHIKUKU,,200,2022-05-19 10:16:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_eiv6gbzw
,BATA KAREN,,349,2021-02-14 15:08:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_bt33ndw3
,CK LAUNDRY LOUNGE,,200,2022-04-18 12:32:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_f5ry1ggg
,STARGATE HOUSEHOLDS,,1600,2021-02-23 15:53:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_mzhynttt
,NJOKAMA,,350,2021-06-09 16:47:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_5iiu4gbi
,SERENI STORES,,300,2021-03-22 14:43:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_hu4sk171
,HEAVENS GATE,,250,2021-02-01 17:54:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jhrquf5n
,SAFARICOM LIMITED,,20,2021-02-17 13:05:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_uer6zxxs
,BIG FISH STOMACH CLINIC,,500,2021-10-30 17:57:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_c7p9hpjv
,JULIUS GATHERU ON,,60,2022-03-14 08:41:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_vokkiv55
,NAIVAS SUPERMARKET,,2749,2021-08-23 16:36:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_jv6oehhg
,SAFARICOM LIMITED,,50,2021-02-02 09:55:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_fu3wtb83
,NAIVAS SUPERMARKET,,595,2021-06-11 18:13:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_fyy11e7t
,NANCY NAFULA SHIKUKU,,100,2022-05-12 08:21:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_xung6caq
,NAIVAS,,430,2021-06-07 14:07:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_4wkopgcy
,SAFARICOM LIMITED,,20,2021-03-14 09:45:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_ydfb0ri7
,AFRICAN QUALITY FABRICKS,,20,2022-01-29 18:03:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_fs3f3t14
,NAIVAS,,2161,2021-03-14 13:16:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_bkq2nd49
,KPLC  FOR,,23000,2021-08-26 12:19:00+00,False,25.0,Female,4,90000,ID_U9WZMGJZ,ID_m2l5c55y
