Tour_ID,country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,first_trip_tz,cost_category
tour_idl43q6fm0,CANADA,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,No,No,17,0,Yes,Higher Cost
tour_idzq2bnpfg,UNITED KINGDOM,25-44,Alone,0.0,1.0,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,20,0,Yes,High Cost
tour_idt5xz7ayd,INDIA,25-44,Alone,1.0,0.0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,3,0,Yes,Normal Cost
tour_id5l7inuif,NORWAY,25-44,Alone,1.0,0.0,Scientific and Academic,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,18,2,Yes,Low Cost
tour_id32l9u6oz,UNITED STATES OF AMERICA,65+,Alone,1.0,0.0,Scientific and Academic,Hunting Tourism,Others,Independent,No,No,No,No,No,No,No,15,0,No,Low Cost
tour_idtpwhctag,UNITED KINGDOM,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,Yes,Normal Cost
tour_idf0b1l18p,ZIMBABWE,45-64,,0.0,1.0,Business,Wildlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idcsmdtoyl,MORROCO,25-44,With Other Friends/Relatives,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,8,0,Yes,High Cost
tour_iddva3tl0q,CHINA,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idcfo1cj0l,ZIMBABWE,45-64,Alone,0.0,1.0,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Lower Cost
tour_idtybbzu4b,ITALY,18-24,With Spouse,1.0,1.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,0,5,Yes,Low Cost
tour_id4qn2lwio,CANADA,45-64,With Other Friends/Relatives,2.0,2.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,Yes,Yes,No,8,2,No,Normal Cost
tour_idfghnzmw4,UNITED STATES OF AMERICA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,No,No,Yes,No,6,5,Yes,Higher Cost
tour_idcsw6hf8z,GERMANY,18-24,With Other Friends/Relatives,2.0,1.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,5,Yes,High Cost
tour_ido8rps8aj,GERMANY,45-64,With Other Friends/Relatives,4.0,8.0,Meetings and Conference,Beach Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,No,No,No,12,3,No,Highest Cost
tour_idw1x9lhy7,UNITED KINGDOM,45-64,Alone,0.0,1.0,Meetings and Conference,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,5,0,No,Normal Cost
tour_id733qlpkf,CHINA,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,5,5,Yes,High Cost
tour_id5ymgmwpp,SOUTH AFRICA,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,Yes,Yes,No,No,17,0,Yes,Higher Cost
tour_idfne9w9qc,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,7,3,Yes,High Cost
tour_idbct8vzzi,SOUTH AFRICA,18-24,With Spouse,1.0,1.0,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,0,5,Yes,Normal Cost
tour_id9ent34f9,ZAMBIA,45-64,Alone,0.0,1.0,Business,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_idfv3yg9u5,UNITED KINGDOM,25-44,With Other Friends/Relatives,2.0,2.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,Yes,No,Yes,7,6,No,Higher Cost
tour_ida2wycv92,ZAMBIA,25-44,Alone,0.0,1.0,Business,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_id7jkn9lg7,AUSTRALIA,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,11,5,Yes,Higher Cost
tour_idzpd48w1q,UNITED KINGDOM,18-24,Alone,0.0,1.0,Business,Bird Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_idqb0v4p5l,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Conference Tourism,"Friends, relatives",Independent,No,No,No,No,No,Yes,No,6,0,Yes,Normal Cost
tour_id21wftbzm,GERMANY,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,No,No,No,No,No,15,5,Yes,High Cost
tour_idvu5x5xue,JAPAN,18-24,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,29,0,Yes,Normal Cost
tour_id9ddgpd84,ZIMBABWE,25-44,Alone,0.0,1.0,Business,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Lower Cost
tour_idv99r4uze,UAE,25-44,With Children,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,12,0,No,Highest Cost
tour_idghkgao6v,RUSSIA,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,60,7,Yes,Normal Cost
tour_idqu6wcsnb,UNITED STATES OF AMERICA,45-64,Alone,1.0,0.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,10,0,No,High Cost
tour_ide02olqyl,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,77,0,Yes,Normal Cost
tour_idlxsda4sc,UNITED KINGDOM,18-24,With Other Friends/Relatives,2.0,0.0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost
tour_id7fydz45s,UNITED KINGDOM,25-44,With Spouse and Children,2.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,4,Yes,Higher Cost
tour_id14f1pvfs,SWIZERLAND,45-64,Alone,1.0,0.0,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,27,0,Yes,Normal Cost
tour_idy25vb5pz,GERMANY,25-44,Alone,0.0,1.0,Business,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,No,No,1,0,No,Normal Cost
tour_idt2agxtdk,UNITED KINGDOM,25-44,Alone,1.0,0.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,15,2,Yes,Low Cost
tour_idgzzgzdi0,UNITED STATES OF AMERICA,65+,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,15,0,No,Higher Cost
tour_idnlx1sc9e,KENYA,18-24,Alone,1.0,0.0,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,1,No,Normal Cost
tour_idjx6xtq4i,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
tour_idxbxk8ogr,ZIMBABWE,45-64,Alone,0.0,1.0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,5,0,No,Low Cost
tour_iduygeog7r,GREECE,45-64,With Other Friends/Relatives,0.0,2.0,Volunteering,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idyhqiraum,UNITED KINGDOM,45-64,With Spouse and Children,2.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,14,0,Yes,Normal Cost
tour_idmba8iatr,POLAND,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,28,0,Yes,Normal Cost
tour_idlbrc1np9,ITALY,25-44,With Spouse and Children,2.0,2.0,Leisure and Holidays,Wildlife Tourism,"Newspaper, magazines, brochures",Package Tour,No,Yes,Yes,No,Yes,Yes,No,10,10,Yes,Higher Cost
tour_idmfm40912,ZAMBIA,45-64,With Spouse,1.0,1.0,Business,Business,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,2,0,No,Normal Cost
tour_idyhgfisit,AUSTRIA,45-64,With Other Friends/Relatives,4.0,1.0,Visiting Friends and Relatives,Mountain Climbing,"Friends, relatives",Independent,No,No,No,No,No,No,No,24,0,No,Normal Cost
tour_idwakp7jt2,SOUTH AFRICA,25-44,With Other Friends/Relatives,1.0,2.0,Leisure and Holidays,Bird Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,6,0,No,Lower Cost
tour_idnt8qkx6g,MALAYSIA,25-44,Alone,0.0,1.0,Meetings and Conference,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_idil22wm4f,AUSTRALIA,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,18,0,Yes,Higher Cost
tour_id9kh7f3o1,FRANCE,25-44,With Other Friends/Relatives,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,11,Yes,Normal Cost
tour_idsl4d9fcj,BELGIUM,45-64,With Children,1.0,2.0,Leisure and Holidays,Conference Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,4,Yes,Higher Cost
tour_id8ih2x3ss,MALAYSIA,45-64,With Other Friends/Relatives,1.0,2.0,Business,Widlife Tourism,Others,Package Tour,No,Yes,Yes,Yes,Yes,No,No,3,15,No,High Cost
tour_id2mii9wqu,CZECH REPUBLIC,25-44,With Other Friends/Relatives,2.0,2.0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,6,Yes,Higher Cost
tour_iduodqgcpk,ITALY,25-44,With Other Friends/Relatives,1.0,1.0,Business,Widlife Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,1,0,Yes,Lower Cost
tour_idsq92sbk6,UNITED STATES OF AMERICA,45-64,Alone,1.0,0.0,Leisure and Holidays,Wildlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,4,0,No,High Cost
tour_idzk0ezoi0,GERMANY,25-44,With Other Friends/Relatives,3.0,0.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,12,No,Higher Cost
tour_id2gju2kmq,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,9,0,Yes,Higher Cost
tour_id75463vej,AUSTRALIA,45-64,With Children,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,5,Yes,Higher Cost
tour_id0b9a1bor,UNITED KINGDOM,65+,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,11,0,Yes,Higher Cost
tour_idb2ssocsi,UNITED KINGDOM,18-24,Alone,0.0,1.0,Volunteering,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,No,8,0,Yes,High Cost
tour_idh2nhvv20,UNITED KINGDOM,45-64,Alone,0.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,9,0,Yes,Normal Cost
tour_idej88i9yi,SPAIN,25-44,,0.0,1.0,Other,Wildlife Tourism,Others,Independent,No,No,No,No,No,No,No,10,0,No,Normal Cost
tour_idcz8ysh24,UNITED KINGDOM,25-44,With Children,1.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,20,0,Yes,Low Cost
tour_idkdu68wds,NIGERIA,25-44,Alone,0.0,1.0,Meetings and Conference,Mountain Climbing,Others,Independent,No,No,No,No,No,No,No,20,3,Yes,Normal Cost
tour_id8mmdp4k5,NORWAY,25-44,With Other Friends/Relatives,3.0,4.0,Meetings and Conference,Widlife Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,5,0,Yes,High Cost
tour_idcd2qfj1q,ITALY,65+,With Other Friends/Relatives,2.0,5.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,No,Yes,No,No,No,12,4,Yes,High Cost
tour_idltr9jnca,SOUTH AFRICA,25-44,With Spouse and Children,2.0,2.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,No,Yes,No,Yes,No,No,No,2,12,Yes,Higher Cost
tour_idm10x2aws,GERMANY,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,No,No,No,4,10,Yes,Higher Cost
tour_idvhefx3w4,CANADA,25-44,With Children,1.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,6,0,No,Low Cost
tour_idcmpjswq2,ZAMBIA,25-44,Alone,0.0,1.0,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,4,0,No,Normal Cost
tour_idujrou662,KENYA,45-64,With Other Friends/Relatives,1.0,8.0,Meetings and Conference,Conference Tourism,"Newspaper, magazines, brochures",Independent,No,No,No,No,No,No,No,0,3,No,Normal Cost
tour_idiqllafs3,SWIZERLAND,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,No,Yes,No,14,0,Yes,Higher Cost
tour_id7cqf2ffp,KOREA,25-44,Alone,0.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,Yes,5,4,Yes,High Cost
tour_idfh8iwww9,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Leisure and Holidays,Cultural Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,No,No,10,0,Yes,High Cost
tour_idl1dh1dh5,RWANDA,25-44,,0.0,1.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,1,0,No,Lower Cost
tour_idwqw7drjb,INDIA,45-64,Alone,0.0,1.0,Visiting Friends and Relatives,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Yes,Lower Cost
tour_idpx5fn406,DRC,25-44,Alone,1.0,0.0,Visiting Friends and Relatives,Cultural Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idh8b4utn6,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,7,0,Yes,Higher Cost
tour_ida49lgjru,DENMARK,18-24,Alone,1.0,0.0,Leisure and Holidays,Cultural Tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,Yes,Yes,No,No,3,5,Yes,Low Cost
tour_idj29wl8n9,SOUTH AFRICA,45-64,With Spouse and Children,1.0,3.0,Visiting Friends and Relatives,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,10,0,No,Lower Cost
tour_idnt3vttz2,KENYA,25-44,With Children,49.0,44.0,Leisure and Holidays,Wildlife Tourism,Others,Independent,No,No,No,No,No,No,No,4,0,Yes,Higher Cost
tour_idck0u81vr,CYPRUS,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,Tanzania Mission Abroad,Independent,No,No,No,No,No,No,No,8,0,Yes,Normal Cost
tour_id9y3mnv5m,KENYA,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,Others,Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_idt2ci79zh,UNITED KINGDOM,45-64,Alone,0.0,1.0,Business,Hunting Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,100,0,No,Normal Cost
tour_idbw7q3yml,ITALY,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,0,7,Yes,High Cost
tour_id9iq9t5ag,UNITED STATES OF AMERICA,25-44,With Other Friends/Relatives,1.0,3.0,Leisure and Holidays,Conference Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,No,No,7,0,Yes,High Cost
tour_idmxpiks34,AUSTRIA,45-64,With Other Friends/Relatives,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,Yes,3,0,Yes,High Cost
tour_idbxjct58u,ITALY,25-44,With Spouse,1.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,10,0,Yes,High Cost
tour_idvhf0fd92,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,7,0,Yes,Normal Cost
tour_id6ilgl9pa,AUSTRALIA,25-44,Alone,1.0,0.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,9,0,Yes,Higher Cost
tour_idxkb0izpd,FRANCE,45-64,With Spouse and Children,4.0,1.0,Leisure and Holidays,Beach Tourism,"Newspaper, magazines, brochures",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,11,Yes,Higher Cost
tour_id8cowbcge,SPAIN,25-44,Alone,0.0,1.0,Business,Widlife Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
tour_idtm7nsjbx,ZIMBABWE,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,2,0,Yes,Low Cost
tour_idq2foi7rp,UNITED STATES OF AMERICA,65+,With Children,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,0,Yes,Higher Cost
tour_idr0ws3l85,UNITED STATES OF AMERICA,25-44,With Spouse,2.0,0.0,Visiting Friends and Relatives,Wildlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,9,6,Yes,High Cost
tour_id1qqc5bsu,NETHERLANDS,25-44,,0.0,1.0,Leisure and Holidays,Cultural Tourism,"Radio, TV, Web",Independent,No,No,No,No,No,No,No,60,0,Yes,Normal Cost
tour_idt2nww7qv,UNITED STATES OF AMERICA,18-24,With Other Friends/Relatives,0.0,2.0,Leisure and Holidays,Conference Tourism,"Radio, TV, Web",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,13,0,Yes,Normal Cost
tour_id8zq6qwtu,GERMANY,45-64,With Spouse,1.0,1.0,Leisure and Holidays,Wildlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,5,Yes,Higher Cost
tour_id9q500s86,ITALY,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,No,Yes,Yes,Yes,No,Yes,No,6,0,No,High Cost
tour_id51oh8jjx,SOUTH AFRICA,45-64,Alone,0.0,1.0,Business,Widlife Tourism,Others,Package Tour,Yes,Yes,Yes,Yes,No,No,Yes,4,0,No,High Cost
tour_idduynd3rf,FRANCE,25-44,Alone,0.0,1.0,Leisure and Holidays,Conference Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,No,Yes,Yes,No,13,0,Yes,High Cost
tour_idjgqgc0hk,CANADA,25-44,,1.0,0.0,Volunteering,Cultural Tourism,Others,Independent,No,No,No,No,No,No,No,13,0,Yes,Lower Cost
tour_ido0jhiaz1,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,14,0,No,Lower Cost
tour_idw5f5ooyx,ZIMBABWE,25-44,Alone,0.0,1.0,Leisure and Holidays,Beach Tourism,"Travel agent, tour operator",Independent,No,No,No,No,No,No,No,4,0,No,Lower Cost
tour_id9ovb7ip3,KUWAIT,45-64,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Friends, relatives",Package Tour,No,Yes,Yes,Yes,Yes,Yes,No,5,0,Yes,Normal Cost
tour_idax3hcult,ZAMBIA,25-44,With Other Friends/Relatives,2.0,1.0,Business,Beach Tourism,"Friends, relatives",Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
tour_id68hojsj1,RWANDA,18-24,Alone,1.0,0.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,No,4,0,No,Normal Cost
tour_idarki97ci,ZAMBIA,25-44,Alone,0.0,1.0,Business,Beach Tourism,Others,Independent,No,No,No,No,No,No,No,8,0,No,Lower Cost
tour_idgqvb6ek8,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,0,Yes,Higher Cost
tour_id95fjz9vr,BELGIUM,45-64,With Children,0.0,2.0,Leisure and Holidays,Widlife Tourism,"Travel agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,No,Yes,No,7,0,Yes,High Cost
tour_idwn6mun5y,ZAMBIA,25-44,Alone,0.0,1.0,Business,Mountain Climbing,Others,Independent,No,No,No,No,No,No,No,3,0,No,Lower Cost
